index,step_dist_m,speed_mps,removed
0,0.000,0.000,0
1,0.849,0.849,0
2,0.000,0.000,0
3,1.954,1.954,0
4,0.000,0.000,0
5,0.326,0.326,0
6,0.000,0.000,1
7,0.314,0.314,1
8,0.000,0.000,0
9,0.279,0.279,0
10,0.000,0.000,0
11,2.176,2.176,0
12,0.000,0.000,0
13,0.520,0.520,0
14,0.000,0.000,0
15,1.073,1.073,0
16,0.000,0.000,0
17,1.905,1.905,0
18,0.000,0.000,1
19,0.364,0.364,1
20,0.000,0.000,0
21,2.164,2.164,0
22,0.000,0.000,0
23,1.434,1.434,0
24,0.000,0.000,0
25,0.001,0.001,0
26,0.000,0.000,0
27,0.000,0.000,0
28,0.000,0.000,0
29,1.302,1.302,0
30,0.000,0.000,0
31,0.892,0.892,1
32,0.000,0.000,1
33,0.686,0.686,0
34,0.000,0.000,0
35,0.763,0.763,0
36,0.000,0.000,0
37,3.243,3.243,0
38,0.000,0.000,1
39,3.085,3.085,1
40,0.000,0.000,1
41,5.399,5.399,1
42,0.000,0.000,0
43,4.520,4.520,0
44,0.000,0.000,0
45,0.673,0.673,0
46,0.000,0.000,0
47,0.120,0.120,0
48,0.000,0.000,1
49,0.096,0.096,1
50,0.000,0.000,0
51,0.302,0.302,0
52,0.000,0.000,1
53,3.922,3.922,1
54,0.000,0.000,1
55,1.893,1.893,1
56,0.000,0.000,1
57,5.612,5.612,0
58,0.000,0.000,0
59,0.928,0.928,0
60,0.000,0.000,0
61,0.207,0.207,0
62,0.000,0.000,0
63,2.831,2.831,0
64,0.000,0.000,1
65,7.905,7.905,1
66,0.000,0.000,1
67,9.728,9.728,1
68,0.000,0.000,1
69,5.752,5.752,1
70,0.000,0.000,1
71,6.321,6.321,1
72,0.000,0.000,1
73,1.379,1.379,1
74,0.000,0.000,1
75,1.272,1.272,1
76,0.000,0.000,1
77,0.427,0.427,1
78,0.000,0.000,0
79,2.482,2.482,0
80,0.000,0.000,1
81,1.871,1.871,1
82,0.000,0.000,1
83,1.027,1.027,1
84,0.000,0.000,0
85,0.179,0.179,0
86,0.000,0.000,0
87,0.703,0.703,0
88,0.000,0.000,1
89,6.593,6.593,1
90,0.000,0.000,1
91,1.637,1.637,1
92,0.000,0.000,1
93,2.487,2.487,1
94,0.000,0.000,0
95,0.800,0.800,0
96,0.000,0.000,1
97,1.278,1.278,1
98,0.000,0.000,1
99,2.823,2.823,1
100,0.000,0.000,1
101,3.627,3.627,1
102,0.000,0.000,1
103,8.396,8.396,1
104,0.000,0.000,1
105,6.133,6.133,1
106,0.000,0.000,1
107,2.533,2.533,1
108,0.000,0.000,0
109,0.492,0.492,0
110,0.000,0.000,0
111,0.760,0.760,0
112,0.000,0.000,1
113,1.664,1.664,1
114,0.000,0.000,1
115,0.976,0.976,1
116,0.000,0.000,0
117,0.289,0.289,0
118,0.000,0.000,0
119,0.532,0.532,0
120,0.000,0.000,0
121,3.914,3.914,0
122,0.000,0.000,1
123,1.583,1.583,1
124,0.000,0.000,1
125,0.839,0.839,1
126,0.000,0.000,1
127,0.870,0.870,1
128,0.000,0.000,1
129,0.492,0.492,1
130,0.000,0.000,1
131,0.475,0.475,1
132,0.000,0.000,1
133,0.689,0.689,1
134,0.000,0.000,0
135,0.059,0.059,0
136,0.000,0.000,1
137,1.204,1.204,1
138,0.000,0.000,0
139,0.415,0.415,0
140,0.000,0.000,0
141,0.740,0.740,0
142,0.000,0.000,0
143,0.389,0.389,0
144,0.000,0.000,1
145,0.962,0.962,1
146,0.000,0.000,1
147,0.896,0.896,1
148,0.000,0.000,1
149,2.013,2.013,1
150,0.000,0.000,0
151,1.249,1.249,0
152,0.000,0.000,0
153,2.392,2.392,0
154,0.000,0.000,0
155,1.490,1.490,0
156,0.000,0.000,0
157,2.149,2.149,0
158,0.000,0.000,0
159,1.137,1.137,0
160,0.000,0.000,0
161,1.869,1.869,0
162,0.000,0.000,0
163,2.327,2.327,0
164,0.000,0.000,0
165,3.388,3.388,0
166,0.000,0.000,0
167,3.340,3.340,0
168,0.000,0.000,0
169,1.235,1.235,0
170,0.000,0.000,1
171,4.355,4.355,1
172,0.000,0.000,1
173,6.379,6.379,1
174,0.000,0.000,0
175,2.810,2.810,0
176,0.000,0.000,0
177,2.534,2.534,0
178,0.000,0.000,0
179,3.428,3.428,0
180,0.000,0.000,0
181,3.273,3.273,0
182,0.000,0.000,0
183,2.663,2.663,0
184,0.000,0.000,0
185,3.182,3.182,0
186,0.000,0.000,0
187,3.271,3.271,0
188,0.000,0.000,0
189,3.057,3.057,0
190,0.000,0.000,0
191,2.540,2.540,0
192,0.000,0.000,0
193,2.509,2.509,0
194,0.000,0.000,0
195,2.644,2.644,0
196,0.000,0.000,0
197,2.480,2.480,0
198,0.000,0.000,0
199,3.198,3.198,0
200,0.000,0.000,0
201,2.761,2.761,0
202,0.000,0.000,0
203,2.218,2.218,0
204,0.000,0.000,0
205,3.150,3.150,0
206,0.000,0.000,0
207,2.316,2.316,0
208,0.000,0.000,0
209,3.029,3.029,0
