index,step_dist_m,speed_mps,removed
0,0.000,0.000,0
1,0.000,0.000,0
2,0.000,0.000,0
3,0.000,0.000,0
4,0.000,0.000,0
5,0.000,0.000,0
6,1.554,1.554,0
7,0.000,0.000,0
8,0.000,0.000,0
9,0.000,0.000,0
10,0.000,0.000,0
11,0.000,0.000,0
12,0.000,0.000,0
13,0.000,0.000,0
14,0.000,0.000,0
15,0.000,0.000,0
16,0.000,0.000,0
17,0.000,0.000,0
18,0.000,0.000,0
19,0.000,0.000,0
20,0.000,0.000,0
21,0.000,0.000,0
22,0.000,0.000,0
23,0.000,0.000,0
24,0.000,0.000,0
25,0.000,0.000,0
26,0.000,0.000,0
27,0.000,0.000,0
28,0.000,0.000,0
29,0.000,0.000,0
30,0.000,0.000,0
31,0.000,0.000,0
32,0.000,0.000,0
33,0.000,0.000,0
34,0.000,0.000,0
35,0.000,0.000,0
36,0.000,0.000,0
37,0.000,0.000,0
38,0.000,0.000,0
39,0.000,0.000,0
40,0.000,0.000,0
41,0.000,0.000,0
42,0.000,0.000,0
43,0.000,0.000,0
44,0.000,0.000,0
45,0.000,0.000,0
46,0.000,0.000,0
47,0.000,0.000,0
48,0.000,0.000,0
49,0.000,0.000,0
50,0.000,0.000,0
51,0.000,0.000,0
52,5.454,5.454,0
53,0.000,0.000,0
54,0.260,0.260,0
55,0.000,0.000,0
56,0.626,0.626,0
57,0.000,0.000,0
58,0.235,0.235,0
59,0.000,0.000,0
60,0.209,0.209,0
61,0.000,0.000,0
62,0.134,0.134,0
63,0.000,0.000,1
64,0.134,0.134,1
65,0.000,0.000,1
66,0.268,0.268,1
67,0.000,0.000,1
68,0.240,0.240,1
69,0.000,0.000,1
70,0.271,0.271,0
71,0.000,0.000,0
72,0.000,0.000,0
73,0.000,0.000,0
74,0.554,0.554,0
75,0.000,0.000,1
76,0.031,0.031,1
77,0.000,0.000,0
78,0.292,0.292,0
79,0.000,0.000,0
80,0.452,0.452,0
81,0.000,0.000,0
82,1.050,1.050,0
83,0.000,0.000,0
84,1.052,1.052,0
85,0.000,0.000,0
86,1.362,1.362,0
87,0.000,0.000,0
88,1.480,1.480,0
89,0.000,0.000,0
90,2.297,2.297,0
91,0.000,0.000,0
92,3.355,3.355,0
93,0.000,0.000,0
94,3.016,3.016,0
95,0.000,0.000,0
96,2.513,2.513,0
97,0.000,0.000,0
98,3.076,3.076,0
99,0.000,0.000,0
100,3.064,3.064,0
101,0.000,0.000,0
102,2.916,2.916,0
103,0.000,0.000,0
104,3.219,3.219,0
105,0.000,0.000,0
106,2.882,2.882,0
107,0.000,0.000,0
108,3.328,3.328,0
109,0.000,0.000,0
110,2.932,2.932,0
111,0.000,0.000,0
112,3.009,3.009,0
113,0.000,0.000,0
114,2.870,2.870,0
115,0.000,0.000,0
116,2.518,2.518,0
117,0.000,0.000,0
118,2.466,2.466,0
119,0.000,0.000,0
120,2.660,2.660,0
121,0.000,0.000,0
122,2.897,2.897,0
123,0.000,0.000,0
