index,step_dist_m,speed_mps,removed
0,0.000,0.000,0
1,0.000,0.000,0
2,0.026,0.026,0
3,0.000,0.000,0
4,0.092,0.092,0
5,0.000,0.000,0
6,0.061,0.061,0
7,0.000,0.000,0
8,0.031,0.031,0
9,0.000,0.000,0
10,0.033,0.033,0
11,0.000,0.000,0
12,0.033,0.033,0
13,0.000,0.000,0
14,0.036,0.036,0
15,0.000,0.000,0
16,0.005,0.005,0
17,0.000,0.000,0
18,0.755,0.755,0
19,0.000,0.000,0
20,0.000,0.000,0
21,0.364,0.364,0
22,0.028,0.028,0
23,0.000,0.000,0
24,0.328,0.328,0
25,0.000,0.000,0
26,0.000,0.000,0
27,0.047,0.047,0
28,0.000,0.000,0
29,1.777,1.777,0
30,0.000,0.000,0
31,0.000,0.000,0
32,0.279,0.279,1
33,0.000,0.000,1
34,0.000,0.000,1
35,0.412,0.412,0
36,0.000,0.000,0
37,0.000,0.000,0
38,0.000,0.000,0
39,0.000,0.000,0
40,0.000,0.000,0
41,0.000,0.000,0
42,0.000,0.000,0
43,0.000,0.000,0
44,0.000,0.000,0
45,0.000,0.000,0
46,1.593,1.593,0
47,0.000,0.000,0
48,0.000,0.000,0
49,0.004,0.004,0
50,0.000,0.000,0
51,0.003,0.003,0
52,0.000,0.000,0
53,0.006,0.006,0
54,0.220,0.220,0
55,0.000,0.000,0
56,0.001,0.001,0
57,0.000,0.000,0
58,0.007,0.007,0
59,0.000,0.000,0
60,0.000,0.000,0
61,0.173,0.173,0
62,0.000,0.000,0
63,0.004,0.004,0
64,0.141,0.141,0
65,0.000,0.000,0
66,0.001,0.001,0
67,0.000,0.000,0
68,0.000,0.000,0
69,0.114,0.114,0
70,0.096,0.096,0
71,0.000,0.000,0
72,0.001,0.001,0
73,0.000,0.000,0
74,0.002,0.002,0
75,0.000,0.000,0
76,0.000,0.000,0
77,0.003,0.003,0
78,0.002,0.002,0
79,0.000,0.000,0
80,0.094,0.094,0
81,0.000,0.000,0
82,0.002,0.002,0
83,0.000,0.000,0
84,0.081,0.081,0
85,0.000,0.000,0
86,0.002,0.002,0
87,0.000,0.000,0
88,0.000,0.000,0
89,0.003,0.003,0
90,0.074,0.074,0
91,0.000,0.000,0
92,0.000,0.000,0
93,0.001,0.001,0
94,0.002,0.002,0
95,0.000,0.000,0
96,0.004,0.004,0
97,0.000,0.000,0
98,0.001,0.001,0
99,0.000,0.000,0
100,0.000,0.000,0
101,0.000,0.000,0
102,0.000,0.000,0
103,0.002,0.002,0
104,0.000,0.000,0
105,0.000,0.000,0
106,0.446,0.446,0
107,0.000,0.000,0
108,0.002,0.002,0
109,0.000,0.000,0
110,0.000,0.000,0
111,0.000,0.000,0
112,0.149,0.149,0
113,0.000,0.000,0
114,0.000,0.000,0
115,0.104,0.104,0
116,0.081,0.081,0
117,0.000,0.000,0
118,0.061,0.061,0
119,0.000,0.000,0
120,0.001,0.001,0
121,0.000,0.000,0
122,0.002,0.002,0
123,0.000,0.000,0
