index,step_dist_m,speed_mps,removed
0,0.000,0.000,0
1,0.000,0.000,0
2,0.000,0.000,0
3,0.000,0.000,0
4,0.000,0.000,0
5,0.000,0.000,0
6,0.000,0.000,0
7,0.000,0.000,0
8,0.000,0.000,0
9,0.000,0.000,0
10,0.000,0.000,0
11,0.000,0.000,0
12,0.000,0.000,0
13,0.000,0.000,0
14,0.000,0.000,0
15,0.000,0.000,0
16,0.000,0.000,0
17,0.000,0.000,0
18,0.000,0.000,0
19,0.000,0.000,0
20,0.000,0.000,0
21,0.000,0.000,0
22,0.000,0.000,0
23,0.000,0.000,0
24,0.000,0.000,0
25,0.000,0.000,0
26,0.000,0.000,0
27,0.000,0.000,0
28,0.000,0.000,0
29,0.000,0.000,0
30,0.000,0.000,0
31,0.000,0.000,0
32,0.000,0.000,0
33,1.344,1.344,0
34,0.000,0.000,0
35,0.007,0.007,0
36,0.000,0.000,0
37,0.070,0.070,0
38,0.000,0.000,0
39,0.005,0.005,0
40,0.000,0.000,0
41,0.004,0.004,0
42,0.000,0.000,0
43,0.003,0.003,0
44,0.000,0.000,0
45,0.003,0.003,0
46,0.000,0.000,0
47,0.003,0.003,0
48,0.000,0.000,1
49,10.190,10.190,1
50,0.000,0.000,0
51,0.005,0.005,0
52,0.000,0.000,0
53,0.004,0.004,0
54,0.000,0.000,0
55,0.000,0.000,0
56,0.000,0.000,0
57,0.004,0.004,0
58,0.000,0.000,0
59,0.000,0.000,0
60,0.000,0.000,0
61,0.000,0.000,0
62,0.000,0.000,0
63,0.004,0.004,0
64,0.000,0.000,0
65,0.000,0.000,0
66,0.000,0.000,0
67,0.004,0.004,0
68,0.000,0.000,0
69,0.004,0.004,0
70,0.000,0.000,0
71,0.003,0.003,0
72,0.000,0.000,0
73,0.003,0.003,0
74,0.000,0.000,0
75,0.003,0.003,0
76,0.000,0.000,0
77,0.092,0.092,0
78,0.000,0.000,0
79,2.909,2.909,0
80,0.000,0.000,0
81,0.118,0.118,0
82,0.000,0.000,0
83,1.773,1.773,0
84,0.000,0.000,0
85,1.165,1.165,0
86,0.000,0.000,0
87,0.000,0.000,0
88,0.000,0.000,0
89,0.109,0.109,0
90,0.000,0.000,0
91,0.089,0.089,0
92,0.000,0.000,0
93,0.852,0.852,1
94,0.000,0.000,1
95,0.099,0.099,1
96,0.000,0.000,0
97,0.621,0.621,0
98,0.000,0.000,0
99,0.000,0.000,0
100,0.000,0.000,0
101,0.000,0.000,0
102,0.000,0.000,0
103,0.000,0.000,0
104,0.000,0.000,0
105,0.317,0.317,0
106,0.000,0.000,0
107,1.942,1.942,0
108,0.000,0.000,0
109,5.615,5.615,0
110,0.000,0.000,0
111,0.998,0.998,0
112,0.000,0.000,0
113,0.406,0.406,0
114,0.000,0.000,0
115,8.263,8.263,0
116,0.000,0.000,0
117,2.059,2.059,0
118,0.000,0.000,1
119,0.714,0.714,1
120,0.000,0.000,1
121,0.757,0.757,1
122,0.000,0.000,1
123,0.924,0.924,1
