index,step_dist_m,speed_mps,removed
0,0.000,0.000,0
1,0.000,0.000,0
2,0.000,0.000,0
3,0.000,0.000,0
4,0.000,0.000,0
5,0.000,0.000,0
6,0.000,0.000,0
7,1.877,1.877,0
8,0.000,0.000,0
9,0.251,0.251,0
10,0.000,0.000,0
11,0.018,0.018,0
12,0.000,0.000,0
13,0.000,0.000,0
14,0.000,0.000,0
15,0.000,0.000,0
16,0.000,0.000,0
17,0.000,0.000,0
18,0.000,0.000,0
19,0.000,0.000,0
20,0.000,0.000,0
21,0.000,0.000,0
22,0.000,0.000,0
23,0.000,0.000,0
24,0.000,0.000,0
25,0.000,0.000,0
26,0.000,0.000,0
27,0.000,0.000,0
28,0.000,0.000,0
29,0.000,0.000,0
30,0.000,0.000,0
31,0.000,0.000,0
32,0.000,0.000,0
33,0.000,0.000,0
34,0.000,0.000,0
35,0.000,0.000,0
36,0.000,0.000,0
37,0.000,0.000,0
38,0.000,0.000,0
39,0.000,0.000,0
40,0.000,0.000,0
41,0.000,0.000,0
42,0.000,0.000,0
43,0.000,0.000,0
44,0.000,0.000,0
45,0.000,0.000,0
46,0.000,0.000,0
47,0.000,0.000,0
48,0.000,0.000,0
49,0.000,0.000,0
50,0.000,0.000,0
51,0.000,0.000,0
52,0.000,0.000,0
53,0.000,0.000,0
54,0.000,0.000,0
55,0.000,0.000,0
56,0.000,0.000,0
57,0.000,0.000,0
58,0.000,0.000,0
59,0.000,0.000,0
60,0.000,0.000,0
61,0.000,0.000,0
62,0.000,0.000,0
63,0.000,0.000,0
64,0.000,0.000,0
65,0.000,0.000,0
66,0.000,0.000,0
67,0.000,0.000,0
68,0.000,0.000,0
69,0.000,0.000,0
70,0.000,0.000,0
71,0.000,0.000,0
72,0.000,0.000,0
73,1.626,1.626,0
74,0.000,0.000,0
75,0.071,0.071,0
76,0.000,0.000,0
77,0.172,0.172,0
78,0.000,0.000,0
79,0.254,0.254,0
80,0.000,0.000,0
81,0.122,0.122,0
82,0.000,0.000,0
83,0.047,0.047,0
84,0.000,0.000,0
85,0.186,0.186,0
86,0.000,0.000,0
87,0.110,0.110,0
88,0.000,0.000,0
89,0.006,0.006,0
90,0.000,0.000,1
91,0.281,0.281,1
92,0.000,0.000,1
93,0.245,0.245,1
94,0.000,0.000,0
95,0.192,0.192,0
96,0.000,0.000,0
97,0.124,0.124,0
98,0.000,0.000,0
99,0.034,0.034,0
100,0.000,0.000,1
101,0.269,0.269,1
102,0.000,0.000,1
103,0.072,0.072,1
104,0.000,0.000,1
105,0.147,0.147,1
106,0.000,0.000,0
107,0.204,0.204,0
108,0.000,0.000,0
109,0.015,0.015,0
110,0.000,0.000,0
111,0.080,0.080,0
112,0.000,0.000,0
113,0.000,0.000,0
114,0.000,0.000,0
115,0.000,0.000,0
116,0.000,0.000,0
117,0.467,0.467,0
118,0.000,0.000,1
119,0.377,0.377,1
120,0.000,0.000,1
121,0.251,0.251,1
122,0.000,0.000,0
123,0.000,0.000,0
