index,step_dist_m,speed_mps,removed
0,0.000,0.000,0
1,0.000,0.000,0
2,4.926,4.926,0
3,0.000,0.000,0
4,0.000,0.000,0
5,0.000,0.000,0
6,0.000,0.000,0
7,0.000,0.000,0
8,0.000,0.000,0
9,0.000,0.000,0
10,0.000,0.000,0
11,0.000,0.000,0
12,0.000,0.000,0
13,0.000,0.000,0
14,5.866,5.866,0
15,0.000,0.000,0
16,0.000,0.000,0
17,0.000,0.000,0
18,0.000,0.000,0
19,0.000,0.000,0
20,0.000,0.000,0
21,0.000,0.000,0
22,0.000,0.000,0
23,0.000,0.000,0
24,0.000,0.000,0
25,0.000,0.000,0
26,1.266,1.266,0
27,0.000,0.000,0
28,0.000,0.000,0
29,0.000,0.000,0
30,0.000,0.000,0
31,0.000,0.000,0
32,0.000,0.000,0
33,0.000,0.000,0
34,0.000,0.000,0
35,0.000,0.000,0
36,0.000,0.000,0
37,0.000,0.000,0
38,2.183,2.183,0
39,0.000,0.000,0
40,0.000,0.000,0
41,0.000,0.000,0
42,0.000,0.000,0
43,0.000,0.000,0
44,0.000,0.000,0
45,0.000,0.000,0
46,0.000,0.000,0
47,0.000,0.000,0
48,0.000,0.000,0
49,0.000,0.000,0
50,2.482,2.482,0
51,0.000,0.000,0
52,0.000,0.000,0
53,0.000,0.000,0
54,0.000,0.000,0
55,0.000,0.000,0
56,0.000,0.000,0
57,0.000,0.000,0
58,0.000,0.000,0
59,0.000,0.000,0
60,0.000,0.000,0
61,0.000,0.000,0
62,2.777,2.777,0
63,0.000,0.000,0
64,0.000,0.000,0
65,0.000,0.000,0
66,0.000,0.000,0
67,0.000,0.000,0
68,0.000,0.000,0
69,0.000,0.000,0
70,0.000,0.000,0
71,0.000,0.000,0
72,0.000,0.000,0
73,0.000,0.000,0
74,5.672,5.672,0
75,0.000,0.000,0
76,0.000,0.000,0
77,0.000,0.000,0
78,0.000,0.000,0
79,0.000,0.000,0
80,0.000,0.000,0
81,0.000,0.000,0
82,0.000,0.000,0
83,0.000,0.000,0
84,0.000,0.000,1
85,12.324,12.324,1
86,0.000,0.000,1
87,3.935,3.935,1
88,0.000,0.000,1
89,3.875,3.875,1
90,0.000,0.000,0
91,0.994,0.994,0
92,0.000,0.000,0
93,0.198,0.198,0
94,0.000,0.000,0
95,0.067,0.067,0
96,0.000,0.000,0
97,0.308,0.308,0
98,0.000,0.000,1
99,1.623,1.623,1
100,0.000,0.000,1
101,1.608,1.608,1
102,0.000,0.000,0
103,0.459,0.459,0
104,0.000,0.000,0
105,0.795,0.795,0
106,0.000,0.000,0
107,0.706,0.706,0
108,0.000,0.000,0
109,0.000,0.000,0
110,0.000,0.000,0
111,5.316,5.316,0
112,0.000,0.000,0
113,0.269,0.269,0
114,0.000,0.000,0
115,0.435,0.435,0
116,0.000,0.000,0
117,0.730,0.730,0
118,0.000,0.000,0
119,2.255,2.255,0
120,0.000,0.000,0
121,1.441,1.441,0
122,0.000,0.000,1
123,8.328,8.328,1
