index,step_dist_m,speed_mps,removed
0,0.000,0.000,0
1,0.002,0.002,0
2,0.000,0.000,0
3,0.001,0.001,0
4,0.000,0.000,0
5,0.000,0.000,0
6,0.000,0.000,0
7,0.001,0.001,0
8,0.000,0.000,0
9,0.000,0.000,0
10,0.000,0.000,0
11,0.000,0.000,0
12,0.000,0.000,0
13,0.565,0.565,0
14,0.000,0.000,0
15,0.002,0.002,0
16,0.000,0.000,0
17,0.004,0.004,0
18,0.000,0.000,0
19,0.003,0.003,0
20,0.000,0.000,0
21,0.002,0.002,0
22,0.000,0.000,0
23,0.003,0.003,0
24,0.000,0.000,1
25,0.082,0.082,1
26,0.000,0.000,1
27,0.021,0.021,1
28,0.000,0.000,0
29,0.052,0.052,0
30,0.000,0.000,0
31,0.128,0.128,0
32,0.000,0.000,0
33,0.123,0.123,0
34,0.000,0.000,1
35,0.138,0.138,1
36,0.000,0.000,1
37,0.354,0.354,1
38,0.000,0.000,0
39,0.000,0.000,0
40,0.000,0.000,0
41,0.000,0.000,0
42,0.000,0.000,0
43,0.328,0.328,0
44,0.000,0.000,0
45,0.369,0.369,0
46,0.000,0.000,0
47,0.320,0.320,0
48,0.000,0.000,0
49,0.100,0.100,0
50,0.000,0.000,0
51,0.036,0.036,0
52,0.000,0.000,0
53,0.231,0.231,0
54,0.000,0.000,0
55,0.033,0.033,0
56,0.000,0.000,1
57,0.197,0.197,1
58,0.000,0.000,0
59,0.545,0.545,0
60,0.000,0.000,0
61,1.779,1.779,0
62,0.000,0.000,0
63,1.689,1.689,0
64,0.000,0.000,0
65,1.469,1.469,0
66,0.000,0.000,0
67,1.805,1.805,0
68,0.000,0.000,0
69,2.077,2.077,0
70,0.000,0.000,0
71,1.994,1.994,1
72,0.000,0.000,1
73,1.739,1.739,0
74,0.000,0.000,0
75,2.241,2.241,0
76,0.000,0.000,0
77,1.856,1.856,0
78,0.000,0.000,0
79,2.059,2.059,0
80,0.000,0.000,0
81,2.289,2.289,0
82,0.000,0.000,0
83,2.057,2.057,0
84,0.000,0.000,0
85,1.924,1.924,0
86,0.000,0.000,0
87,2.313,2.313,0
88,0.000,0.000,0
89,2.571,2.571,1
90,0.000,0.000,1
91,2.747,2.747,0
92,0.000,0.000,0
93,3.428,3.428,0
94,0.000,0.000,0
95,3.074,3.074,0
96,0.000,0.000,0
97,3.021,3.021,0
98,0.000,0.000,0
99,3.115,3.115,0
100,0.000,0.000,0
101,3.469,3.469,0
102,0.000,0.000,0
103,3.347,3.347,0
104,0.000,0.000,0
105,3.416,3.416,0
106,0.000,0.000,0
107,3.879,3.879,0
108,0.000,0.000,0
109,4.049,4.049,0
110,0.000,0.000,0
111,4.996,4.996,0
112,0.000,0.000,0
113,2.727,2.727,0
114,0.000,0.000,0
115,3.172,3.172,0
116,0.000,0.000,0
117,3.479,3.479,0
118,0.000,0.000,0
119,2.770,2.770,0
120,0.000,0.000,0
121,3.592,3.592,0
122,0.000,0.000,0
123,3.624,3.624,0
124,0.000,0.000,0
125,4.174,4.174,0
126,0.000,0.000,0
127,4.230,4.230,0
128,0.000,0.000,0
129,4.519,4.519,0
130,0.000,0.000,0
131,3.648,3.648,0
132,0.000,0.000,0
133,3.806,3.806,0
134,0.000,0.000,0
135,3.578,3.578,0
136,0.000,0.000,0
137,3.915,3.915,0
138,0.000,0.000,0
139,3.846,3.846,0
140,0.000,0.000,0
141,3.803,3.803,0
142,0.000,0.000,0
143,3.888,3.888,0
144,0.000,0.000,0
145,3.749,3.749,0
146,0.000,0.000,0
147,3.849,3.849,0
148,0.000,0.000,0
149,3.637,3.637,0
150,0.000,0.000,0
151,3.509,3.509,0
152,0.000,0.000,0
153,4.296,4.296,0
154,0.000,0.000,0
155,3.620,3.620,0
156,0.000,0.000,0
157,3.043,3.043,0
158,0.000,0.000,0
159,3.120,3.120,0
160,0.000,0.000,0
161,2.620,2.620,0
162,0.000,0.000,0
163,2.184,2.184,0
164,0.000,0.000,0
165,1.692,1.692,0
166,0.000,0.000,0
167,2.968,2.968,0
168,0.000,0.000,0
169,3.411,3.411,0
170,0.000,0.000,0
171,3.176,3.176,0
172,0.000,0.000,0
173,3.475,3.475,0
174,0.000,0.000,0
175,4.200,4.200,0
176,0.000,0.000,0
177,4.056,4.056,0
178,0.000,0.000,0
179,3.834,3.834,0
180,0.000,0.000,0
181,3.774,3.774,0
182,0.000,0.000,0
183,3.856,3.856,0
184,0.000,0.000,0
185,4.343,4.343,0
186,0.000,0.000,0
187,4.261,4.261,0
188,0.000,0.000,0
189,2.842,2.842,0
190,0.000,0.000,0
191,3.805,3.805,0
192,0.000,0.000,0
193,4.225,4.225,0
194,0.000,0.000,0
195,4.007,4.007,0
196,0.000,0.000,0
197,4.078,4.078,0
198,0.000,0.000,0
199,3.503,3.503,0
200,0.000,0.000,0
201,4.495,4.495,0
202,0.000,0.000,0
203,4.546,4.546,0
204,0.000,0.000,0
205,4.243,4.243,0
206,0.000,0.000,0
207,4.116,4.116,0
208,0.000,0.000,0
209,3.533,3.533,0
210,0.000,0.000,0
211,3.951,3.951,0
212,0.000,0.000,0
213,3.675,3.675,0
214,0.000,0.000,0
215,5.191,5.191,0
216,0.000,0.000,0
217,2.916,2.916,0
218,0.000,0.000,0
219,4.011,4.011,0
220,0.000,0.000,0
221,3.954,3.954,0
222,0.000,0.000,0
223,4.188,4.188,0
224,0.000,0.000,0
225,4.225,4.225,0
226,0.000,0.000,0
227,4.099,4.099,0
228,0.000,0.000,0
229,3.563,3.563,0
230,0.000,0.000,0
231,4.317,4.317,0
232,0.000,0.000,0
233,3.922,3.922,0
234,0.000,0.000,0
235,2.999,2.999,0
236,0.000,0.000,0
237,2.105,2.105,0
238,0.000,0.000,0
239,2.319,2.319,0
240,0.000,0.000,0
241,2.872,2.872,0
242,0.000,0.000,0
243,3.375,3.375,0
244,0.000,0.000,0
245,4.359,4.359,0
246,0.000,0.000,0
247,3.609,3.609,0
248,0.000,0.000,0
249,3.348,3.348,0
250,0.000,0.000,0
251,4.052,4.052,0
252,0.000,0.000,0
253,3.945,3.945,0
254,0.000,0.000,0
255,3.901,3.901,0
256,0.000,0.000,0
257,4.207,4.207,0
258,0.000,0.000,0
259,3.911,3.911,0
260,0.000,0.000,0
261,4.475,4.475,0
262,0.000,0.000,0
263,4.307,4.307,0
264,0.000,0.000,0
265,4.341,4.341,0
266,0.000,0.000,0
267,4.513,4.513,0
268,0.000,0.000,0
269,3.800,3.800,0
270,0.000,0.000,0
271,4.328,4.328,0
272,0.000,0.000,0
273,4.563,4.563,0
274,0.000,0.000,0
275,3.711,3.711,0
276,0.000,0.000,0
277,4.316,4.316,0
278,0.000,0.000,0
279,4.503,4.503,0
280,0.000,0.000,0
281,3.417,3.417,0
282,0.000,0.000,0
283,4.371,4.371,0
284,0.000,0.000,0
285,3.920,3.920,0
286,0.000,0.000,0
287,4.235,4.235,0
288,0.000,0.000,0
289,4.109,4.109,0
290,0.000,0.000,0
291,4.153,4.153,0
292,0.000,0.000,0
293,3.806,3.806,0
294,0.000,0.000,0
295,3.803,3.803,0
296,0.000,0.000,0
297,4.374,4.374,0
298,0.000,0.000,0
299,3.680,3.680,0
300,0.000,0.000,0
301,3.920,3.920,0
302,0.000,0.000,0
303,4.291,4.291,0
304,0.000,0.000,0
305,3.732,3.732,0
306,0.000,0.000,0
307,3.296,3.296,0
308,0.000,0.000,0
309,2.226,2.226,0
310,0.000,0.000,0
311,2.059,2.059,0
312,0.000,0.000,0
313,3.008,3.008,0
314,0.000,0.000,0
315,3.716,3.716,0
316,0.000,0.000,0
317,3.781,3.781,0
318,0.000,0.000,0
319,3.701,3.701,0
320,0.000,0.000,0
321,3.486,3.486,0
322,0.000,0.000,0
323,3.237,3.237,0
324,0.000,0.000,0
325,3.607,3.607,0
326,0.000,0.000,0
327,4.984,4.984,0
328,0.000,0.000,0
329,4.357,4.357,0
